month,day,hour,usage
1,1,0,0.252
1,1,1,0.243
1,1,2,0.345
1,1,3,0.278
1,1,4,0.245
1,1,5,0.712
1,1,6,0.709
1,1,7,0.603
1,1,8,0.305
1,1,9,0.24
1,1,10,0.236
1,1,11,0.221
1,1,12,0.216
1,1,13,0.229
1,1,14,0.242
1,1,15,0.228
1,1,16,0.215
1,1,17,0.503
1,1,18,0.438
1,1,19,0.753
1,1,20,1.711
1,1,21,2.565
1,1,22,0.951
1,1,23,0.439
1,2,0,0.279
1,2,1,0.249
1,2,2,0.242
1,2,3,0.225
1,2,4,0.227
1,2,5,0.44
1,2,6,0.707
1,2,7,0.831
1,2,8,0.426
1,2,9,0.243
1,2,10,0.226
1,2,11,0.241
1,2,12,0.333
1,2,13,0.515
1,2,14,0.509
1,2,15,0.517
1,2,16,0.839
1,2,17,0.726
1,2,18,0.512
1,2,19,1.051
1,2,20,3.567
1,2,21,3.132
1,2,22,0.709
1,2,23,0.443
1,3,0,0.251
1,3,1,0.248
1,3,2,0.24
1,3,3,0.248
1,3,4,0.342
1,3,5,0.805
1,3,6,0.734
1,3,7,0.788
1,3,8,0.496
1,3,9,0.245
1,3,10,0.235
1,3,11,0.249
1,3,12,0.248
1,3,13,0.879
1,3,14,0.772
1,3,15,0.433
1,3,16,0.467
1,3,17,0.6
1,3,18,0.458
1,3,19,0.608
1,3,20,0.693
1,3,21,0.964
1,3,22,0.735
1,3,23,0.753
1,4,0,0.33
1,4,1,0.26
1,4,2,0.25
1,4,3,0.236
1,4,4,0.243
1,4,5,0.253
1,4,6,0.722
1,4,7,0.709
1,4,8,0.5
1,4,9,0.431
1,4,10,0.355
1,4,11,0.641
1,4,12,0.974
1,4,13,1.089
1,4,14,0.963
1,4,15,0.373
1,4,16,0.625
1,4,17,0.594
1,4,18,1.179
1,4,19,0.747
1,4,20,0.568
1,4,21,1.324
1,4,22,1.22
1,4,23,1.237
1,5,0,0.713
1,5,1,0.269
1,5,2,0.237
1,5,3,0.299
1,5,4,0.306
1,5,5,0.253
1,5,6,0.234
1,5,7,0.274
1,5,8,0.742
1,5,9,0.675
1,5,10,0.692
1,5,11,0.583
1,5,12,0.241
1,5,13,0.71
1,5,14,0.503
1,5,15,0.66
1,5,16,0.996
1,5,17,1.154
1,5,18,0.973
1,5,19,1.179
1,5,20,1.182
1,5,21,0.749
1,5,22,0.607
1,5,23,0.335
1,6,0,0.262
1,6,1,0.246
1,6,2,0.226
1,6,3,0.23
1,6,4,0.548
1,6,5,0.714
1,6,6,0.7
1,6,7,0.82
1,6,8,0.437
1,6,9,0.226
1,6,10,0.232
1,6,11,0.224
1,6,12,0.47
1,6,13,0.505
1,6,14,0.498
1,6,15,0.515
1,6,16,0.488
1,6,17,0.446
1,6,18,1.016
1,6,19,1.19
1,6,20,1.397
1,6,21,1.105
1,6,22,0.587
1,6,23,1.011
1,7,0,0.8
1,7,1,0.253
1,7,2,0.243
1,7,3,2.618
1,7,4,3.834
1,7,5,2.189
1,7,6,0.807
1,7,7,0.818
1,7,8,0.354
1,7,9,0.187
1,7,10,0.189
1,7,11,0.182
1,7,12,0.18
1,7,13,0.186
1,7,14,0.186
1,7,15,0.418
1,7,16,0.668
1,7,17,0.556
1,7,18,0.593
1,7,19,1.31
1,7,20,0.392
1,7,21,0.556
1,7,22,1.556
1,7,23,0.556
1,8,0,0.219
1,8,1,0.197
1,8,2,0.184
1,8,3,0.204
1,8,4,0.202
1,8,5,0.66
1,8,6,0.704
1,8,7,0.569
1,8,8,0.264
1,8,9,0.189
1,8,10,0.192
1,8,11,0.18
1,8,12,0.171
1,8,13,0.202
1,8,14,0.179
1,8,15,0.18
1,8,16,0.755
1,8,17,0.552
1,8,18,0.588
1,8,19,0.812
1,8,20,0.754
1,8,21,0.718
1,8,22,0.664
1,8,23,0.537
1,9,0,0.527
1,9,1,0.335
1,9,2,0.198
1,9,3,0.207
1,9,4,0.207
1,9,5,0.204
1,9,6,0.608
1,9,7,0.505
1,9,8,0.573
1,9,9,0.238
1,9,10,0.243
1,9,11,0.223
1,9,12,0.217
1,9,13,0.234
1,9,14,0.236
1,9,15,0.226
1,9,16,0.233
1,9,17,0.299
1,9,18,0.694
1,9,19,1.474
1,9,20,1.178
1,9,21,0.767
1,9,22,0.501
1,9,23,0.38
1,10,0,0.256
1,10,1,0.23
